original_sentence	result_sentence	style_prompt
I seek to determine the exact number of entities present in this context.	I embark on a quest to uncover the hidden truth and count the entities that surround me.	Please change the sentence by using a inspiring tone.
The recent surge in COVID-19 cases has prompted a re-examination of the data.	The recent surge in COVID-19 cases has prompted a re-examination of the data.	Please change the sentence by using Conan O'Brien's style.
The theme park conglomerate has successfully reactivated/reopened LEGOLAND, and Disney World is poised to revitalize/reinvigorate its enchantment at four Orlando-based recreational facilities.	The theme park conglomerate is bringing the magic back to four Orlando spots.	Please change the sentence by using Steve Harvey's style.
Integrating high school and middle school students into authentic research projects.	The integration of high school and middle school students into authentic research projects fosters a collaborative learning environment.	Please change the sentence by using a authoritative tone.
Speaker Nancy Pelosi is advocating for the removal of Confederate statues.	Speaker Nancy Pelosi is requesting the relocation of Confederate monuments.	Please change the sentence by using a policeman's style.
This ancient temple, where the statues of the queen and king stand in striking contrast, underscores the queen's remarkable importance.	This crumbling temple, where the faded statues of the queen and king stand, serves as a poignant reminder of the queen's forgotten legacy.	Please change the sentence by using a pessimistic tone.
Upon successfully displaying the ticket, one will have optimized time allocation and ensured a secure and convenient location for their vehicle.	By triumphantly presenting your ticket, you'll unlock the ultimate advantage...	Please change the sentence by using a inspiring tone.
If one fails to implement physical social distancing, the consequences will be substantial.	Hark, neglecting physical separation/social distancing shall bring dire consequences.	"Please change the sentence by using ""early modern English"" tone."
During tumultuous eras of conflict, devotees implore their spiritual leaders to identify suitable locations for their mausoleums, as mortality is precarious and unforeseen.	During chaotic times, people ask spiritual leaders for guidance on honoring the dead.	Please change the sentence by using a informal tone.
Notable franchises across both sports, including the storied Green Bay Packers, the venerable Boston Red Sox, the iconic New York Yankees, and the storied St. Louis Cardinals.	Honey, let me tell you about them notable franchises across both sports.	Please change the sentence by using a grandmother's style.
Welcome to our community.	The prevailing motif that pervades these declarations is a formal introduction: 'Greetings, you are now part of our community'.	Please change the sentence by using a serious tone.
The judge's subsequent decree was a resounding vindication for the plaintiff.	The subsequent decree issued by the judge was a definitive vindication of the plaintiff's claims.	Please change the sentence by using a authoritative tone.
We all possess the capacity to accommodate occasional interactions between our children and a few additional young males in our domestic spaces.	'Y'all got the ability to chill with your kids and a few youngbloods in the crib every now and then, ain't no thang!'	Please change the sentence by using Steve Harvey's style.
We'll be broadcasting live every Sunday at 8 o'clock GMT, exploring the theme of the month through a series of interviews, discussions, and roundtable conversations, starting with today's session.	It is our intention to present a live broadcast every Sunday at 8 o'clock Greenwich Mean Time, featuring a series of in-depth discussions and interviews, starting with today's inaugural session.	Please change the sentence by using a professor's style.
When I indulge in the realm of somnium, I am free to devour the refrigerator's contents without constraint.	In slumber, the fridge is my plate.	Please change the sentence by using a proverb style.
The fact that we're all convened on Zoom today already constitutes a foundational aspect of the collaborative experience that Secretary Loisaga alluded to.	Being on a Zoom call sets the stage for team-building.	Please change the sentence by using a father's style.
The forthcoming educational initiative, 'How to College', is a collaborative endeavour between Arizona State University and Crash Course, which aims to provide a comprehensive study hall series for students.	The forthcoming 'How to College' initiative is a strategic partnership between Arizona State University and Crash Course, designed to deliver a premium, comprehensive online study hall series to students, driving revenue growth and brand recognition for all parties involved.	Please change the sentence by using a businessman's style.
Despite accumulated expertise, we're still lacking comprehensive proposals for effective societal engagement.	Despite all the knowledge we got, we still ain't got no solid plans to get the people involved and make some real change happen.	Please change the sentence by using Kevin Hart's style.
The Austin Police Department has yet to identify the individual responsible for critically injuring Justin Bieber.	The Austin Police Department is still investigating a reported attack on Justin Bieber.	Please change the sentence by using Conan O'Brien's style.
And huge thanks to Lucie, David, and Dan for those incredibly insightful and stimulating presentations.	Hear me praise Lucie, David, and Dan, for their most wondrously wise and stimulating presentations.	"Please change the sentence by using ""old English"" tone."
The paradigmatic shift in the American hockey landscape during the late 1960s and early 1970s was precipitated by the NHL's expansion and the concurrent emergence of the World Hockey Association, a development that significantly altered the sport's trajectory.	The big change in American hockey happened a long time ago, when the NHL got bigger and a new league called the World Hockey Association started. This change made a big difference in how people played and loved hockey!	Please change the sentence by using a kindergarten teacher's style.
Such segregation is impermissible.	It is morally reprehensible to tolerate such segregation.	Please change the sentence by using a persuasive tone.
The most effective approach to navigating complex issues is through fostering dialogue and acknowledging historical trauma and systemic injustices.	The deepest understanding of complex issues arises from acknowledging the profound impact of history and systemic injustices.	Please change the sentence by using a proverb style.
This illustration, created by the renowned artist M.C. Escher, effectively encapsulates the concept I'm trying to convey.	The profound insight it offers into the very essence of my idea, illuminating the path to conveyance with unparalleled clarity.	Please change the sentence by using a inspiring tone.
The discussion on K-12 on-campus oratory until the Mahanony case arrives, which primarily focuses on extracurricular speech.	The Mahanony case is the primary focus of the discussion on K-12 campus declamation.	"Please change the sentence by using ""early modern English"" tone."
And if we consider this value, we can obtain the result by dividing it by the revenue, which is conveniently listed.	And if we examine this valuable insight, we can effortlessly achieve the outcome by dividing it by the revenue, which is thoughtfully presented for our convenience.	Please change the sentence by using a optimistic tone.
The Gaelic-speaking populations have traditionally referred to their homeland as Alba, while medieval writers employed the toponyms Albany, Albion, and Albania to describe this region.	The Gaelic-speaking populations have historically denoted their ancestral territory as Alba.	Please change the sentence by using a serious tone.
When brain health is concerned, it's the disparity that warrants our attention.	The major gap between what's supposed to be and what's really happening is what we should be focusing on.	Please change the sentence by using a son's style.
The genesis of basketball can be traced back to 1891.	The origins of basketball date back to 1891, marking a pivotal moment in the sport's evolution.	Please change the sentence by using a businessman's style.
The juxtaposition of these two scenarios is quite striking.	The dichotomy between these two narrative threads/frameworks is noteworthy, exhibiting/revealing a striking contrast that warrants further analysis.	Please change the sentence by using a professor's style.
"He candidly disclosed to 60 Minutes"" that he was cognizant of the attention and the attendant responsibility."""	He openly shared with the media that he was aware of the scrutiny and the corresponding accountability.	Please change the sentence by using a businessman's style.
The demise of Thutmose II precipitates a crisis in the royal hierarchy.	The inevitable collapse of Thutmose II's reign plunges the royal hierarchy into a catastrophic abyss of despair and chaos.	Please change the sentence by using a pessimistic tone.
The payback period essentially quantifies the temporal lag between the initial investment and the emergence of a net positive cash flow...	The payback period is like a timer that tells us how long it takes for our investment to start generating a positive return.	Please change the sentence by using a mother's style.
The most prevalent applications of vehicles for passive investment encompass index mutual funds and ETFs.	Most people use vehicles like index mutual funds and ETFs to invest passively in the stock market.	Please change the sentence by using a informal tone.
We propose to create an environment that fosters a sense of community and encourages individuals to engage in meaningful interactions, ultimately leading to a memorable and enjoyable experience.	Hear ye, we propose to establish an atmosphere that fosters fellowship and meaningful conversation, leading to a memorable and enjoyable experience.	"Please change the sentence by using ""early modern English"" tone."
A racing vehicle emblazoned with the social media tag #BlackLivesMatter, piloted by NASCAR driver Bubba Wallace, donning the number 43 on its chassis.	A vehiculum cursus, adorned with the hashtag #BlackLivesMatter, driven by the NASCAR driver Bubba Wallace, whose chassis bore the numerical designation 43, was piloted with precision and purpose.	Please change the sentence by using a professor's style.
We had initiated a series of dialogues with Steve Phelps, the president of NASCAR, during which we engaged in a robust exchange of opinions with him last week.	We had conducted a series of dialogues with Steve Phelps, the president of NASCAR, during which we engaged in a robust exchange of opinions with him last week, thereby fostering a nuanced understanding of the organization's perspectives.	Please change the sentence by using a professor's style.
The Penncrest District, situated in both Crawford and Venango counties, can be situated within the broader geographical context of Northwest Pennsylvania.	The Penncrest District, strategically located in both Crawford and Venango counties, is a key component of the larger Northwest Pennsylvania geographic landscape.	Please change the sentence by using a businessman's style.
The terracing system is linked by a prominent central staircase that facilitates connectivity between the various levels.	Like, the stairs are super important because they help connect all the different levels and stuff, and it's like, really cool, you know?	Please change the sentence by using a daughter's style.
The notion that [Safiya]'s commentary appears Martha Stewart-esque, as it evokes the image of a meticulously prepared, high-effort holiday dinner at home, replete with the juxtaposition of refined bird and gravy.	It's tremendous, believe me, it's got class, just like a fantastic holiday dinner at Trump Tower, the best, the greatest, the most fantastic, with the finest bird and gravy, the greatest, the best, the most fantastic.	Please change the sentence by using Donald Trump's style.
Iran's government allegedly engaged in a cyber espionage operation to disrupt the democratic process and manipulate the outcome of an election.	Iran's government is accused of using cyber hacking to influence an election.	Please change the sentence by using a informal tone.
Arizona's current trajectory serves as a paradigmatic example for the nation's future.	Arizon's cours serveth as a ensample to alle the lond, in token of what shall befall us alle in time to come.	"Please change the sentence by using ""middle English"" tone."
I'll be in touch with the next installment.	I'll be in touch soon!	Please change the sentence by using a kindergarten teacher's style.
The onset of depression and anxiety precipitated a profound transformation, effectively recalibrating my entire existence.	The experience of depression and anxiety led to a transformative change in one's professional and personal path.	Please change the sentence by using a businessman's style.
Whose agency is most significantly influencing the macroeconomic landscape?	The underlying inquiry is: which entity's agency is having the most significant macroeconomic influence?	Please change the sentence by using a professor's style.
The key to unlocking this concept lies in the ability to establish meaningful correlations.	Th' key to vnlokinge this conceyit lyeth in the abilitee to establishen significante correlacions.	"Please change the sentence by using ""middle English"" tone."
The high-definition video quality of the protagonist, captured using a compact camera, surpassed even the most optimistic expectations.	The video quality of that person's performance was amazing, even with a tiny camera.	Please change the sentence by using a father's style.
And I predict that this phenomenon will persist, perpetuating a trend in this manner.	It is my expectation that this phenomenon will persist.	Please change the sentence by using a professor's style.
I chanced upon strangers who possess knowledge about my forgotten briefing.	Strangers possessing knowledge about a forgotten briefing were chanced upon.	Please change the sentence by using passive voice.
I am struggling to identify a pair of individuals that migrated together.	Verily, I confess my bewilderment in discerning a duo of travelers who journeyed in tandem.	Please change the sentence by using a priest's style.
Evaluating the efficacy of treatments in combating COVID-19.	Assessing the efficacy of remedies in combating COVID-19.	"Please change the sentence by using ""middle English"" tone."
President Trump is slated to convene with law enforcement officials and African American leaders during his forthcoming visit to Dallas.	President Trump is fixin' to meet with law enforcement and African American leaders.	Please change the sentence by using Kevin Hart's style.
The US national teams, encompassing both the men's and women's squads, as well as various national youth teams, participate in international soccer competitions, with their activities overseen by the United States Soccer Federation.	The United States Soccer Federation oversees the national teams, comprising both the men's and women's squads, as well as various national youth teams, which participate in international soccer competitions with the utmost professionalism.	Please change the sentence by using a serious tone.
This unit is likely to be the first to be eliminated if the company needs to reduce services.	This unit is gonna be the first to go.	Please change the sentence by using Donald Trump's style.
Justice for George Floyd's brother demands a thorough and swift investigation.	Hope rises for George Floyd's brother as a thorough and swift investigation unfolds, bringing justice and closure.	Please change the sentence by using a optimistic tone.
